week,count
2012-06,3.0
2012-07,1.0
2012-09,1.0
2012-10,2.0
2012-11,3.0
2012-12,5.0
2012-13,2.0
2012-17,3.0
2012-19,1.0
2012-20,4.0
2012-22,3.0
2012-26,7.0
2012-28,54.0
2012-29,3.0
2012-30,10.0
2012-31,50.0
2012-32,4.0
2012-40,2.0
2012-42,2.0
2012-44,3.0
2012-47,1.0
2012-48,3.0
2012-49,2.0
2012-52,2.0
2013-00,1.0
2013-02,2.0
2013-04,1.0
2013-07,1.0
2013-16,1.0
2013-19,8.0
2013-20,5.0
2013-21,1.0
2013-22,3.0
2013-23,5.0
2013-24,4.0
2013-25,19.0
2013-26,10.0
2013-27,18.0
2013-28,2.0
2013-33,3.0
2013-50,1.0
2014-06,1.0
2014-14,1.0
2014-15,1.0
2014-41,1.0
2014-43,26.0
2014-44,133.0
2014-45,77.0
2014-47,1736.0
2014-48,1543.0
2014-49,576.0
2014-50,571.0
2014-51,453.0
2014-52,147.0
2015-00,135.0
2015-01,1311.0
2015-02,2048.0
2015-03,1735.0
2015-04,1739.0
2015-05,466.0
2015-06,3075.0
2015-07,1677.0
2015-08,335.0
2015-09,384.0
2015-10,2036.0
2015-11,6837.0
2015-12,468.0
2015-13,987.0
2015-14,1007.0
2015-15,736.0
2015-16,1756.0
2015-17,2464.0
2015-18,1691.0
2015-19,2099.0
2015-20,1767.0
2015-21,4109.0
2015-22,14960.0
2015-23,14233.0
2015-24,4025.0
2015-25,4256.0
2015-26,12782.0
2015-27,22568.0
2015-28,21931.0
2015-29,26448.0
2015-30,15682.0
2015-31,13210.0
2015-32,13519.0
2015-33,13982.0
2015-34,11730.0
2015-35,4819.0
2015-36,875.0
2015-37,1961.0
2015-38,1786.0
2015-39,1036.0
2015-40,2371.0
2015-41,4229.0
2015-42,946.0
2015-43,1412.0
2015-44,698.0
2015-45,1494.0
2015-46,4323.0
2015-47,5111.0
2015-48,5444.0
2015-49,5999.0
2015-50,8650.0
2015-51,6860.0
2015-52,3353.0
2016-00,728.0
2016-01,6629.0
2016-02,6148.0
2016-03,6145.0
2016-04,6847.0
2016-05,8256.0
2016-06,8404.0
2016-07,8117.0
2016-08,8844.0
2016-09,6869.0
2016-10,6126.0
2016-11,6871.0
2016-12,8150.0
2016-13,6127.0
2016-14,6011.0
2016-15,4560.0
2016-16,6357.0
2016-17,5218.0
2016-18,6439.0
2016-19,7478.0
2016-20,7723.0
2016-21,7564.0
2016-22,8036.0
2016-23,6515.0
2016-24,8008.0
2016-25,9474.0
2016-26,6287.0
2016-27,4375.0
2016-28,2082.0
2016-29,5359.0
2016-30,7834.0
2016-31,7812.0
2016-32,8504.0
2016-33,7772.0
2016-34,8207.0
2016-35,7739.0
2016-36,10272.0
2016-37,17746.0
2016-38,17367.0
2016-39,11072.0
2016-40,26420.0
2016-41,13725.0
2016-42,14575.0
2016-43,10710.0
2016-44,9824.0
2016-45,14026.0
2016-46,12486.0
2016-47,12596.0
2016-48,16376.0
2016-49,18504.0
2016-50,15619.0
2016-51,19974.0
2016-52,16556.0
2017-01,13290.0
2017-02,14447.0
2017-03,14099.0
2017-04,14549.0
2017-05,12912.0
2017-06,13409.0
2017-07,12236.0
2017-08,11449.0
2017-09,12153.0
2017-10,11797.0
2017-11,10823.0
2017-12,10792.0
2017-13,11268.0
2017-14,11388.0
2017-15,11321.0
2017-16,12317.0
2017-17,11823.0
2017-18,9242.0
2017-19,2781.0
2017-20,2708.0
2017-21,2693.0
2017-22,2865.0
2017-23,5317.0
2017-24,7786.0
2017-25,2978.0
2017-26,3365.0
2017-27,5335.0
2017-28,6263.0
2017-29,7344.0
2017-30,10107.0
2017-31,34353.0
2017-32,49686.0
2017-33,63925.0
2017-34,2454.0
2017-35,7762.0
2017-36,6758.0
2017-37,8337.0
2017-38,6778.0
2017-39,7522.0
2017-40,8778.0
2017-41,7506.0
2017-42,7844.0
2017-43,720.0
2017-44,114.0
2017-45,2927.0
2017-46,5547.0
2017-47,4440.0
2017-48,5487.0
2017-49,6178.0
2017-50,587.0
2017-51,332.0
2017-52,161.0
2017-53,5.0
2018-00,211.0
2018-01,422.0
2018-02,297.0
2018-03,280.0
2018-04,425.0
2018-05,417.0
2018-06,369.0
2018-07,213.0
2018-08,316.0
2018-09,367.0
2018-10,300.0
2018-11,330.0
2018-12,80.0
2018-13,147.0
2018-14,148.0
2018-15,135.0
2018-16,107.0
2018-17,114.0
2018-18,94.0
2018-19,119.0
2018-20,39.0
2018-21,15.0
